output_variable_name,output_display_name,internal_notes,display_notes,cost_type
cb:ippu:technical_cost:abating_N2O_and_F_Gases:X,Cost of abating PFCs,The difference variable in this row is a dummy variable,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",transformation_cost
cb:ippu:technical_cost:abating_gases:n2o,Cost of abating N2O in chemical prouduction,ND,"We use data in EPA (2019, Table 5-10) to estimate an undiscounted abatement cost of $38/ton of adipic acid and $3/ton of nitric acid",transformation_cost
cb:ippu:technical_cost:abating_gases:hfcs,Cost of abating PFCs,The difference variable in this row is a dummy variable,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",transformation_cost
cb:ippu:technical_cost:abating_gases:pfcs,Cost of abating PFCs,The difference variable in this row is a dummy variable,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",transformation_cost
cb:ippu:technical_cost:abating_gases:other_fgases,Cost of abating PFCs,The difference variable in this row is a dummy variable,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",transformation_cost
cb:fgtv:technical_cost:flaring:X,Cost of abating fugitive emissions (flaring),ND,"Studies suggest that fugitive emissions could be abated at a cost of less than $14/tCO2e in the United StatesÕ oil and gas industry through a variety of technologies (ICF International, 2014, Figures A-4 and A-5). We use a conservative estimate by this measure given variations in discount rates, assumptions about the price of methane, etc. We also might suggest that flaring fugitive emissions has a fraction of the cost. We use an average of $10/tCO2e for both transformations.",transformation_cost
cb:fgtv:technical_cost:leaks:X,Cost of abating fugitive emissions (minimizing leaks),ND,"Studies suggest that fugitive emissions could be abated at a cost of less than $14/tCO2e in the United StatesÕ oil and gas industry through a variety of technologies (ICF International, 2014, Figures A-4 and A-5). We use a conservative estimate by this measure given variations in discount rates, assumptions about the price of methane, etc. We also might suggest that flaring fugitive emissions has a fraction of the cost. We use an average of $10/tCO2e for both transformations.",transformation_cost
cb:waso:technical_cost:consumer_food_waste:X,Cost of avoiding waste (food consumption),ND,ND,transformation_cost
cb:waso:consumer_savings:consumer_food_waste:X,"Saving from avoided waste (agriculture, consumers)",ND,ND,transformation_cost
cb:ccsq:technical_cost:direct_air_capture:X,Cost of direct air capture,ND,"Costs of direct air capture can range from $250-600 and are expected to decline (Ozkan et al., 2022).",transformation_cost
cb:lvst:technical_cost:ent_ferm_mgmt:X,Cost of enteric fermentation,"An update on 10.14 fixes a bug in the application and calculation of livestock enteric fermentation costs. The bug was that the function cb_lvst_enteric getting called once for each livestock type, but it also itself calculated costs for all livestock types, meaning the costs were getting multiplied by the number of livestock. That is fixed by making the csv instructions search only one livestock type.","The cost of reduced enteric fermentation is taken as the range of costs in Table 5-59 in EPA (2019) for fermentation inhibitors, and the nominal value is the average of that range. McKinsey (2020) reports breed change as a no-cost transformation. The costs of enteric fermentation inhibitors are converted from 2010 to 2019 dollars and adjusted to LAC.",transformation_cost
cb:agrc:technical_cost:rice_mgmt:X,Cost of better rice management,ND,"Chakraborty et al. (2017, Supplementary Table S8) describe the difference in costs for these practices globally, which we adapt here, adjusting from 2017 to 2019 dollars.",transformation_cost
cb:agrc:technical_cost:producer_food_waste:X,Cost of avoiding waste (food production),ND,"These costs are based on the per-ton costs of reducing food waste in the United States found in the appendix of ReFED (2016). Here, the range represents the cost of the top three consumer-facing food waste prevention interventions adjusted to 2020 dollars (consumer education [$40/ton], standardized date labeling [$15/ton], and changing produce specifications [$455/ton]), adjusted to LAC 2019 dollars. In the absence of other data, we assume that reducing the presence of non-food waste in the waste stream could be up to ten times more expensive, given that it requires the use of different materials and technology at the producer level.",transformation_cost
cb:agrc:technical_savings:producer_food_waste:X,"Saving from avoided waste (agriculture, producers)",ND,"Food waste occurs across food types, and without specific information on the types of food that are wasted and have recovery potential in the supply chain, we use the average cost of food across all product types. We reduce this value given that the food that is recovered from waste may be of lower value than food that is not wasted.",transformation_cost
cb:agrc:technical_cost:increase_productivity:X,Cost of increasing productivity (agriculture),ND,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",transformation_cost
cb:lvst:technical_cost:increase_productivity:X,Cost of increasing productivity (livestock),ND,"This is deeply uncertain. As an initial estimate, we use the average annual investment in agriculture and livestock R&D in OECD countries, as a fraction of GDP. We use that fraction for OECD countries in LAC; for others, we increase that fraction by 20% to account for less developed economies.",transformation_cost
cb:pflo:human_health:better_diets:X,Savings from healthier diets (health),ND,"The health benefits of a dietary change is calculated based on the aggregate annual health benefits defined in Springmann et al. (2016) for LAC in 2050. The costs are deeply uncertain: a dirct-costs approach estimates costs of $100B in LAC; a value-of-statistical-life approach estimates costs of approximately $2.5 trillion (see figures S.12 and S.13). divided by the population in LAC projected by the World Bank for 2050 (approximately 750M). We use an average, but explore over the full range, from $350/person to $3500/person.",transformation_cost
cb:pflo:consumer_savings:better_diets:X,Savings from healthier diets (groceries),ND,"The annual cost of food in the improved diet described by Springmann et al., (2016) costs less than the baseline diet, with food prices in LAC based on Springmann et al. (2017) and adjusted to 2020 dollars.",transformation_cost
cb:lndu:technical_cost:rehabilitate_forests:X,Cost of rehabilitating degraded land,ND,"Fargione et al. (2021), estimate a range of per-hectare costs of reforestation across the United States. We have selected a value near the high end of this range ($2000/ha) and adjusted to LAC in 2019.",transformation_cost
cb:lndu:technical_cost:silvopasture:X,Cost of silvopasture,ND,"We conservatively estimate the cost of silvopasture as the same as the cost of restoring degraded land, though this may be a higher cost than is seen in the literature.",transformation_cost
cb:lndu:technical_cost:all_secondary_forests:X,Cost of silvopasture,ND,"We conservatively estimate the cost of silvopasture as the same as the cost of restoring degraded land, though this may be a higher cost than is seen in the literature.",transformation_cost
cb:ippu:technical_cost:industrial_ccs:X,Cost of industrial ccs,ND,"The IEA (2020b) estimates that CCS globally adds $30-50/ton cement, $50/ton of steel, and $100/ton of chemicals, which we apply to plastics as well. ",transformation_cost
cb:agrc:consumer_savings:cons_ag_land_value:X,Increase in land value (conservation agriculture),ND,"Telles et al., (2018) estimate the difference in agricultural land values in Brazil in 2006 under different tillage practices, finding that on average, hectares of no-till are over $700 more valuable per acre than those under conventional tillage practices, which can serve as a proxy for the benefits of healthier soils from conservation tillage. Recognizing that agricultural land values vary greatly by country and that the causal direction of the relationship between value of land and tillage practice may be complex, we use a conservative estimate of the difference to value the benefits of this practice.",transformation_cost
cb:agrc:technical_savings:cons_ag:X,Savings in agriculture,ND,"Telles et al., (2018) estimate the difference in agricultural land values in Brazil in 2006 under different tillage practices, finding that on average, hectares of no-till are over $700 more valuable per acre than those under conventional tillage practices, which can serve as a proxy for the benefits of healthier soils from conservation tillage. Recognizing that agricultural land values vary greatly by country and that the causal direction of the relationship between value of land and tillage practice may be complex, we use a conservative estimate of the difference to value the benefits of this practice.",transformation_cost
cb:lsmm:technical_cost:manure_management,Manure Management,none,Frank et al. (2018) suggest global costs of digesters from $8-$38/TLU. We use an average for digesters and then adjust to account for the fact that much of the manure in this transformation is handled by lower cost methods such as spreading on fields.,transformation_cost
